donor_readable,donated_arbitrum,sample_donation_transaction
0x0d0707963952f2fba59dd06f2b425ace40b492fe,88.02719199999999,0xa06284e62019cda746ddbc35e7345c91d4fbdbedf3e7d9650845b4e3c06023f4
0xdb3ec7b16fd60fb4fdb58a438bd8af57d8d3a91c,86.84,0x35057c169b9704243e017680202f14c9954fd1fc7cbc1c14ddff022fad6d8765
0xc179e34a183a1b37fa1416ee5330c55957674ca7,86.7675,0x38f4cd7a34a10cae58d2f6873aa6d64f2c4b37b80ec13967a980769e9e0d8c89
0x1f809a6131f81369157567062d48aea6dd269e18,86.75450000000001,0xa5dea7487c34cef6ba93a3a94ca304a00fd70777ded6c96b094af18aed364c69
0x4109492bd815c3da90d77594bab505204e827aa7,86.5965,0x63ec0557e9453cc3850a5a913bfbfb8bfca51d96ac02a88c65dccf9ca6f98401
0x2da11c50ffaa4d939f9bdc9a47d6b54394087319,86.519,0x609f9e78264f61931e8d0d09ebd408c2cd773789ea86c1d2f68b9fef9d036c31
0xe34f0ddfeb104779490d9bd11a199331536b6e9a,86.415,0xd4af958587f97481c39e82d5c113836340e86c883e10c087b58443703729eca6
0xfdd4654d145d988038b47359dc0e5a030ea1262b,86.385,0x88e220cff069ecb61e7a4d71364a095fee57783025fd9071c489be789d05bdae
0xf259687e61f5ff16c735f4b3c11aa42e0e4cda74,86.36950000000002,0x3e81957e5fcb9cdae365c6ed9012b822973e9249464aade4a4591022c95fb0b2
0x8cfa8dd7bd8a1316f145c52d842c09eac212f642,86.00750000000001,0x48dd812ba0b14869ae69b59a42cfac7cebb3dca9c66c4aab592e87526debbe5f
0xb3ddc2a5b4ebdb7640191906bd4195e23e17142c,85.986,0x9d3730703b3bf97b6928109721440f98dd79ab951828eed2172e31233fd2885f
0xa8ca50f1cd2ad81aed4151c8d6c8b6e13c26a411,85.9795,0x4b5e23279ee8c2186536e8543915bf579b8c5280440c31949caf85b39a79d793
0x4a4eae6b3246fa1768a9cb54609ed4903278858d,85.677,0x6d729b14f39d94394720f2557b47485371a9524538b464c0620d8647c173d611
0x2ca80d745ee534cd63b91d75b37d6f69e9b4f14a,60.517100000000006,0x00531c93a6b5a5a65128d10a9b0d32c032414802c00d1bd91e74ec78208c379a
0x94c6f190e8b570b2f9ce41a5585db6272c2150d2,60.08603737761899,0x7aec7b05734cf17d49add12940a90ea211a13057b7448b0fa29647c24ff4b282
0x2260c600601a17aa937e36e343df7ce7b89e1ad7,56.4879,0xc6397ad45799f8fa389d1087c186c845e070188c9a9af27a1ed798bb72b4eb00
0x4bf5f4c93af3dcb49622d6bc78dd8dff68cc1565,54.3867,0x2970d9b3a955b718f82ec7f0f37725fb26922130f3611b1f61431ad2f10020f5
0x29e46015ccfe13cfe8dc96d75760a6290df311ee,52.703660000000006,0xee38d3142dc1b30088cb9a3e3ca3593c29f5b99d5ba003978c995462cf22f5b1
0xb67c8aa0c16f929e83eaeb776ca4bef52bc588be,52.1553,0xc4ba76f5e8f9fda584c09a62f330d21b9f8a83e73d397416caa9baae823ba0a8
